Format Version,1.23,Take Name,Werikson_IC_Gesto_B,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.21.22.268 ,Total Frames in Take,1595,Total Exported Frames,1595,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right,Gesture:Teste1,Gesture:Teste1,Gesture:Teste1
,ID,"67186D7C94E311EC6E30FC7E4D48E899","67186D7C94E311EC6E30FC7E4D48E899","67186D7C94E311EC6E30FC7E4D48E899","67186D7E94E311EC6E30FC7E4D48E899","67186D7E94E311EC6E30FC7E4D48E899","67186D7E94E311EC6E30FC7E4D48E899","67186D8094E311EC6E30FC7E4D48E899","67186D8094E311EC6E30FC7E4D48E899","67186D8094E311EC6E30FC7E4D48E899","9B37ADC794E311EC6E30FC7E4D48E899","9B37ADC794E311EC6E30FC7E4D48E899","9B37ADC794E311EC6E30FC7E4D48E899"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
42,0.175000,0.090312,1.706804,-0.120344,0.421740,0.901367,-0.186664,-0.156745,0.897328,-0.247343,,,
43,0.179167,0.090304,1.706792,-0.120302,0.421739,0.901369,-0.186597,-0.156803,0.897353,-0.247273,,,
44,0.183333,0.090329,1.706788,-0.120266,0.421734,0.901361,-0.186534,-0.156800,0.897377,-0.246985,,,
45,0.187500,0.090314,1.706775,-0.120233,0.421738,0.901367,-0.186475,-0.156863,0.897392,-0.246908,,,
46,0.191667,0.090321,1.706767,-0.120198,0.421736,0.901364,-0.186402,-0.156926,0.897415,-0.246840,,,
47,0.195833,0.090308,1.706755,-0.120161,0.421734,0.901360,-0.186342,-0.156947,0.897554,-0.246664,,,
48,0.200000,0.090297,1.706748,-0.120133,0.421729,0.901353,-0.186291,-0.157021,0.897571,-0.246587,,,
49,0.204167,0.090273,1.706738,-0.120105,0.421765,0.901284,-0.186349,-0.157096,0.897597,-0.246558,,,
50,0.208333,0.090267,1.706743,-0.120062,0.421774,0.901291,-0.186286,-0.157169,0.897630,-0.246486,,,
51,0.212500,0.090253,1.706734,-0.120050,0.421772,0.901289,-0.186219,-0.157303,0.897693,-0.246379,,,
52,0.216667,0.090234,1.706733,-0.120001,0.421767,0.901282,-0.186168,-0.157312,0.897670,-0.246315,,,
53,0.220833,0.090214,1.706730,-0.119979,0.421779,0.901278,-0.186091,-0.157323,0.897735,-0.246214,,,
54,0.225000,0.090199,1.706716,-0.119943,0.421773,0.901265,-0.186043,-0.157293,0.897612,-0.246019,,,
55,0.229167,0.090161,1.706718,-0.119903,0.421777,0.901255,-0.185982,-0.157374,0.897632,-0.245941,,,
56,0.233333,0.090122,1.706709,-0.119866,0.421775,0.901248,-0.185923,-0.157459,0.897659,-0.245840,,,
57,0.237500,0.090102,1.706699,-0.119841,0.421672,0.901183,-0.185759,-0.157534,0.897678,-0.245759,,,
58,0.241667,0.090073,1.706696,-0.119807,0.421776,0.901232,-0.185808,-0.157612,0.897708,-0.245673,,,
59,0.245833,0.090036,1.706695,-0.119766,0.421682,0.901170,-0.185659,-0.157693,0.897716,-0.245586,,,
60,0.250000,0.089988,1.706683,-0.119736,0.421681,0.901162,-0.185602,-0.157775,0.897739,-0.245489,,,
61,0.254167,0.089771,1.705871,-0.119287,0.421688,0.901145,-0.185541,-0.157856,0.897772,-0.245404,,,
62,0.258333,0.089748,1.705848,-0.119256,0.421695,0.901150,-0.185481,-0.157941,0.897793,-0.245305,,,
63,0.262500,0.089714,1.706379,-0.119382,0.421987,0.901356,-0.185116,-0.158178,0.897773,-0.245148,,,
64,0.266667,0.089498,1.706058,-0.119358,0.421958,0.901451,-0.184681,-0.158273,0.897805,-0.245047,,,
65,0.270833,0.089580,1.705843,-0.119156,0.421969,0.901437,-0.184623,-0.158355,0.897834,-0.244955,,,
66,0.275000,0.089386,1.706056,-0.119294,0.421974,0.901417,-0.184568,-0.158579,0.897882,-0.244885,,,
67,0.279167,0.089316,1.706056,-0.119254,0.421973,0.901409,-0.184508,-0.158833,0.898090,-0.244784,,,
68,0.283333,0.089262,1.706052,-0.119242,0.422003,0.901410,-0.184434,-0.158776,0.897954,-0.244660,,,
69,0.287500,0.089179,1.706044,-0.119216,0.422008,0.901403,-0.184383,-0.159027,0.898158,-0.244573,,,
